Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Ambiance Experience,"Ambiance experience refers to the overall atmosphere, decor, and vibe of the restaurant as perceived by the reviewer. It includes factors such as lighting, noise level, interior design, and overall feel of the dining space.",How would you describe the ambiance experience of the restaurant based on the review?,"['poor ambiance', 'average ambiance', 'good ambiance', 'excellent ambiance']","{'poor ambiance': 'The review highlights negative aspects of the ambiance such as uncomfortable seating, unpleasant lighting, excessive noise, or uninviting decor.', 'average ambiance': 'The review mentions the ambiance in a neutral or general manner without significant praise or criticism.', 'good ambiance': 'The review praises the ambiance for creating a pleasant dining atmosphere with elements like cozy lighting, tasteful decor, and a comfortable setting.', 'excellent ambiance': 'The review enthusiastically describes the ambiance as outstanding, exceptional, and contributing significantly to the overall dining experience.'}","{'poor ambiance': -1, 'average ambiance': 0, 'good ambiance': 1, 'excellent ambiance': 2}"
Timing and Pacing,"Timing and Pacing refers to the speed and efficiency of service provided by the restaurant staff as perceived by the reviewer. It encompasses factors such as the promptness of food delivery, waiting times for orders, and overall flow of the dining experience.",How would you rate the timing and pacing of the service?,"['fast and efficient', 'adequate', 'slow and inconsistent', 'unclear']","{'fast and efficient': 'The service was quick, prompt, and well-timed, enhancing the overall dining experience.', 'adequate': 'The timing and pacing of service were satisfactory, neither impressively quick nor notably slow.', 'slow and inconsistent': 'The service was slow, delayed, or inconsistent, leading to a subpar dining experience.', 'unclear': 'It was difficult to determine the speed and efficiency of service, or the timing seemed irregular or poorly managed.'}","{'fast and efficient': 1, 'adequate': 0, 'slow and inconsistent': -1, 'unclear': 0}"
Customer Service Experience,"Customer Service Experience refers to the interactions and assistance provided by the restaurant staff to the customers during their dining experience. It encompasses factors such as friendliness, attentiveness, efficiency, and overall satisfaction with the service received.",How would you rate the customer service experience received at the restaurant?,"['exceptional service', 'satisfactory service', 'poor service', 'unacceptable service']","{'exceptional service': 'The service provided by the restaurant staff was outstanding in terms of friendliness, efficiency, and attentiveness, exceeding expectations.', 'satisfactory service': 'The service provided was adequate, meeting basic standards of friendliness and efficiency, with room for improvement.', 'poor service': 'The service provided was below expectations, lacking friendliness, efficiency, or attentiveness, impacting the overall dining experience negatively.', 'unacceptable service': 'The service provided was extremely unsatisfactory, with significant issues in friendliness, efficiency, or attentiveness, resulting in a highly negative dining experience.'}","{'exceptional service': 2, 'satisfactory service': 1, 'poor service': -1, 'unacceptable service': -2}"
Food Quality Satisfaction,"Food quality satisfaction pertains to the perceived level of satisfaction with the taste, presentation, and overall quality of the food served at the restaurant as expressed by the reviewer. It considers the flavors, freshness, portion sizes, and overall culinary experience.",How satisfied is the reviewer with the food quality?,"['highly satisfied', 'satisfied', 'unsatisfied', 'very unsatisfied']","{'highly satisfied': 'The reviewer expresses a high level of satisfaction with the food quality, mentioning exceptional flavors, freshness, presentation, and overall culinary experience.', 'satisfied': 'The reviewer is satisfied with the food quality, finding the flavors, presentation, and overall quality to be pleasing.', 'unsatisfied': 'The reviewer is not satisfied with the food quality, mentioning shortcomings in flavors, freshness, presentation, or overall culinary experience.', 'very unsatisfied': 'The reviewer is highly dissatisfied with the food quality, highlighting significant issues with flavors, freshness, presentation, or overall culinary experience.'}","{'highly satisfied': 2, 'satisfied': 1, 'unsatisfied': -1, 'very unsatisfied': -2}"
Portion Size Satisfaction,"Portion Size Satisfaction refers to the perceived adequacy of the serving sizes and quantities of food provided by the restaurant as expressed by the reviewer. It takes into account the balance between portion size and value for money, influencing the overall dining experience.",How satisfied was the reviewer with the portion sizes of the food?,"['generous portions', 'adequate portions', 'small portions', 'varied portions']","{'generous portions': 'The reviewer found the portion sizes to be plentiful and satisfying, offering good value for money.', 'adequate portions': 'The reviewer felt that the portion sizes provided were sufficient and in line with expectations.', 'small portions': 'The reviewer perceived the portion sizes to be limited or insufficient, possibly impacting their overall satisfaction with the meal.', 'varied portions': 'The portion sizes varied across dishes or were inconsistent, leading to mixed perceptions of value.'}","{'generous portions': 2, 'adequate portions': 1, 'small portions': -1, 'varied portions': 0}"
Value for Money Perception,"Value for Money Perception refers to how reviewers assess the cost of dining at the restaurant relative to the quality of the food, service, ambiance, and overall experience. It reflects the perceived balance between the price paid and the perceived benefits or satisfaction gained from the dining experience.",How do reviewers perceive the cost of dining at the restaurant in relation to the overall experience?,"['excellent value for money', 'good value for money', 'poor value for money', 'uncertain']","{'excellent value for money': 'Reviewers perceive the dining experience as offering excellent value for money, where the quality of food, service, and ambiance exceeds the cost paid.', 'good value for money': 'Reviewers find the dining experience to provide good value for money, with a reasonable balance between cost and benefits.', 'poor value for money': 'Reviewers believe that the dining experience is poor value for money, indicating that the cost outweighs the perceived benefits or satisfaction.', 'uncertain': 'It is unclear or challenging to determine whether the dining experience provides value for money based on the information provided.'}","{'excellent value for money': 2, 'good value for money': 1, 'poor value for money': -1, 'uncertain': 0}"
Menu Variety Assessment,"Menu Variety Assessment refers to the evaluation of the diversity and range of food options offered by the restaurant as perceived by the reviewer. It considers the selection, creativity, and uniqueness of dishes available on the menu, impacting the overall dining experience and satisfaction.",How would you describe the variety of dishes on the menu based on the review?,"['wide variety', 'limited variety', 'specialty focus', 'uncertain']","{'wide variety': 'The review mentions a diverse and extensive range of food options on the menu, catering to different tastes and preferences.', 'limited variety': 'The review indicates a restricted or narrow selection of dishes on the menu, limited in choices or lack of diversity.', 'specialty focus': 'The review highlights a focus on a specific type of cuisine or specialty dishes, rather than offering a broad range of options.', 'uncertain': 'It is unclear or difficult to determine the variety of dishes based on the review, lacking specific insights or details.'}","{'wide variety': 2, 'limited variety': -1, 'specialty focus': 1, 'uncertain': 0}"
Ingredient Quality,"Ingredient quality refers to the perceived freshness, taste, and overall quality of the ingredients used in the dishes served at the restaurant, as noted by the reviewer. It encompasses factors such as the use of premium, locally sourced, organic, or sustainable ingredients that contribute to the taste and satisfaction of the meals.",How would you rate the perceived quality of ingredients used in the dishes?,"['high quality ingredients', 'average quality ingredients', 'low quality ingredients', 'unclear']","{'high quality ingredients': 'The dishes are made with fresh, premium, locally sourced, organic, or sustainable ingredients that enhance the taste and overall quality of the meals.', 'average quality ingredients': 'The quality of ingredients used in the dishes is standard, with no significant emphasis on premium or exceptional sourcing.', 'low quality ingredients': 'The ingredients used in the dishes are perceived to be of lesser quality, lacking freshness, flavor, or notable sourcing.', 'unclear': 'It is difficult to ascertain the quality of ingredients used, or it is not clearly stated in the review.'}","{'high quality ingredients': 2, 'average quality ingredients': 1, 'low quality ingredients': -1, 'unclear': 0}"
Inconsistent Reviewer Experience,"The concept of 'Inconsistent Reviewer Experience' captures the varying opinions and mixed feedback expressed by reviewers regarding their overall dining experience at the restaurant. It reflects the disparity in perceptions, satisfaction levels, or evaluation criteria among different reviewers, leading to divergent ratings.",How would you describe the consistency of the reviewer's experience in the text?,"['consistently negative', 'mixed', 'consistently positive', 'neutral']","{'consistently negative': 'The text consistently reflects negative feedback, dissatisfaction, or criticism regarding the dining experience.', 'mixed': 'The text presents a mix of positive and negative feedback or evaluations, indicating differing perspectives or experiences.', 'consistently positive': 'The text consistently conveys positive feedback, satisfaction, or praise regarding the dining experience.', 'neutral': 'The text does not strongly lean towards either positive or negative feedback, presenting a neutral stance or lack of strong opinions.'}","{'consistently negative': -2, 'mixed': 0, 'consistently positive': 2, 'neutral': 1}"
Menu Variety Diversity,"'Menu Variety Diversity' refers to the assessment of the range and diversity of food options available on the restaurant's menu as perceived by the reviewer. It involves considering the breadth of choices, inclusion of unique dishes, and representation of different cuisines or styles.",How would you describe the diversity and range of food options on the menu?,"['extensive variety', 'limited options', 'specialty focus', 'unbalanced selection']","{'extensive variety': 'The menu offers a wide range of food options, including various cuisines, dishes, and flavors, providing a diverse selection to choose from.', 'limited options': 'The menu has a restricted or limited variety of food choices, possibly focusing on specific types of cuisine or dishes without much diversity.', 'specialty focus': 'The menu emphasizes a particular culinary focus or specialty, such as regional cuisine, signature dishes, or thematic offerings that cater to a niche audience.', 'unbalanced selection': 'The menu shows an imbalanced selection of food options, with an uneven distribution of choices that may lack variety or fail to cater to different preferences.'}","{'extensive variety': 1, 'limited options': -2, 'specialty focus': 0, 'unbalanced selection': -1}"
