Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Financial and Market Terminologies,"The concept refers to the presence of financial, economic and market-related terminologies or phrases in the text. These could include mention of stocks, transactions, investments, profit, loss, economy etc. Texts under the business label usually contain such elements.","To what extent does the text contain financial, economic or market-related terminologies?","['prominent', 'minimal', 'none', 'uncertain']","{'prominent': ""The text contains a substantial amount of financial or economics-based terms - such as 'stocks', 'investments', 'profit', 'loss', 'economy', 'dividends', 'merger' or 'acquisition'. The use of these terms is frequent and they form a key part of the text's subject matter."", 'minimal': ""The text contains a few financial or economics-based terms, but they are subsidiary to the main theme of the text. These may be mentioned indirectly or do not significantly contribute to the text's main theme."", 'none': 'The text lacks any financial, economic or market-related terms. It does not discuss or mention concepts like stocks, profit, loss, economy or similar concepts.', 'uncertain': 'The text may or may not contain financial or economic terms - lack of clear context or ambiguous phrasing make it difficult to determine.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Sports Terminologies,"This concept refers to how prominently words, phrases or references related to different sports appear in the text. The level of prominence is determined by the quantity and the context of usage of these terms.","To what degree do sports terminology feature in the text, and do they contribute substantial context to the content?","['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text is rich in sports-related terms and heavily revolves around sports-related context, discussion or analysis. This could include names of sports, players, teams, tournaments or common terminology associated with sports.', 'minimal': 'The text contains a sparse amount of sports-related terms which do not dominate or significantly influence the overall context of the content.', 'none': 'The text does not contain any explicitly identifiable sports-related terms.', 'uncertain': 'The presence and contextual importance of sports-related terms in the text cannot be determined with certainty.'}","{'prominent': 2, 'minimal': 1, 'none': 0, 'uncertain': -1}"
Technological References,"This concept refers to the presence of technological terms, references, or jargon in the text. These could refer to specific hardware or software, tech companies, recent tech news or events, or other related concepts. Text under the 'sci/tech' label are likely to contain these elements.",What is the level of technological references present in the text?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'Technological references are a major part or focus of the text. The language used or topics discussed are significantly related to technology or tech industries.', 'minimal': 'There are a few technological references present, but they do not constitute a significant part of the text. The language or topics discussed are somewhat related to technology or tech industries.', 'none': 'There are no noticeable technological references in the text. It appears to have no relation to technology or tech industries.', 'uncertain': 'It is difficult to determine the presence or prominence of technological references in the text.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Business Operations References,"This concept refers to the presence of phrases and terms related to business operations, such as mergers & acquisitions, sales, investments, profits, losses, financial results, stock exchange details, etc. in the text. Business news often contains information or discussions about such business activities.",How prominent are the terms or phrases related to business operations in the text?,"['prominent', 'minimal', 'none']","{'prominent': 'The text is dominated by references to business operations, meaning the business-related information or discussions form the main subject of the text.', 'minimal': 'The text contains references to business operations, but they are minor or peripheral to the main subject of the text.', 'none': 'The text does not contain any references to business operations.'}","{'prominent': 2, 'minimal': 1, 'none': 0}"
Geopolitical Terminologies,"This concept refers to the presence of geopolitical terms, references, or phrases in the text. These could include the names of countries, cities, or continents, political leaders, geopolitical events, international relations issues, or broad socio-political matters. Texts under the 'world' label usually contain such elements.",What is the prominence of geopolitical terminologies within the text context?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text prominently features geopolitical terminologies related to countries, cities, continents, political leaders, or events. The context and information in the text greatly revolve around these terminologies.', 'minimal': 'Geopolitical terminologies are present, but do not dominate the text. They serve as minor details, not as the primary focus of the text.', 'none': 'The text does not contain any geopolitical terminologies.', 'uncertain': 'There is insufficient context or clarity in the text to determine the prominence, if any, of geopolitical terminologies.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Scientific Terms and Concepts,"This concept refers to the presence and prominence of scientific terms, phrases, or references in the text. This typically includes naming specific scientific processes, theories, or tools. Can also involve discussing recent developments or breakthroughs in various scientific fields.","To what extent does the text contain scientific terms, phrases or references?","['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text contains multiple explicit references to specific scientific terms, theories, or recent developments. These scientific terms are integral to the main topic or narrative.', 'minimal': 'The text contains a couple of references to scientific terms or theories, but they are not central to the main narrative or topic.', 'none': 'There is a complete absence of any explicit scientific terms, theories or references in the text.', 'uncertain': 'The text is ambiguous or unclear, making it hard to determine the presence or absence of scientific terms or references.'}","{'prominent': 2, 'minimal': 1, 'none': 0, 'uncertain': -1}"
Company Transactions,"This concept encompasses any business or financial transactions associated with the company mentioned in the text. These transactions could range from mergers, acquisitions to sales and minor agreements. These terms are often linked to the 'business' category.","What type of business transactions, if any, are mentioned in relation to a company in the text?","['major transaction', 'minor transaction', 'no transaction', 'uncertain']","{'major transaction': 'The text highlights a significant transaction involving the company, such as mergers, acquisitions, or substantial capital investments.', 'minor transaction': 'The text surface-levelly mentions minor company transactions like sales, smaller deals, or agreements, but these are not the main focus of the text.', 'no transaction': 'There is no mention of company transactions in the text.', 'uncertain': 'From the text, it is ambiguous if a company transaction is being referenced or not.'}","{'major transaction': 2, 'minor transaction': 1, 'no transaction': -1, 'uncertain': 0}"
Mentions of Financial Trends,"This concept refers to mentions or discussions of financial trends in the text. These can include fluctuating oil prices, stock market trends, currency strength, or trends in retail. Articles in the 'business' category often contain this information.",To what extent does the text mention or discuss financial trends?,"['prominently', 'minimally', 'not at all', 'uncertain']","{'prominently': 'Financial trends are the main focus or a significant part of the text. An example could be an article solely about oil price fluctuation or market trends.', 'minimally': ""Financial trends are mentioned, but do not form the text's main focus. This could be a sports article that mentions the financial impact of a cancelled tournament."", 'not at all': 'No references to financial trends are made in the text.', 'uncertain': 'The text could be open to interpretation, or lack enough context to establish the presence or absence of financial trends.'}","{'prominently': 2, 'minimally': 1, 'not at all': -1, 'uncertain': 0}"
Scientific Developments and Innovations,"This concept identifies whether the text discusses or mentions advancements, breakthroughs, or innovations in the fields of science or technology.",What is the extent of discussion or mention about scientific or technological developments or innovations in the text?,"['Extensive', 'Minimal', 'None', 'Uncertain']","{'Extensive': 'Significant portion of the text revolves around scientific or technological innovations or developments. This might include discussions about tech advancements, introduction of novel devices, detailed review of research findings, or coverage of substantial scientific projects.', 'Minimal': 'There are mentions of scientific or technological innovations or advancements in the text, but they are not the main focus or they are briefly touched upon.', 'None': 'The text does not mention or discuss any scientific or technological developments or innovations.', 'Uncertain': 'The text has ambiguous or unclear references to scientific or technological developments or innovations, or it lacks sufficient context to make a determination.'}","{'Extensive': 2, 'Minimal': 1, 'None': -1, 'Uncertain': 0}"
Technological References,"This concept captures references to any specific technological tools, gadgets, software, hardware, platforms or systems in the text.",What level of technological references does the text contain?,"['Extensive', 'Minimal', 'None', 'Uncertain']","{'Extensive': 'Text includes several mentions or detailed discussion about one or more tech-related items.', 'Minimal': 'Text references some tech-related items, but these mentions are brief or incidental.', 'None': 'Text does not contain any reference to tech-related items.', 'Uncertain': 'It is unclear or ambiguous whether the text mentions any tech-related items.'}","{'Extensive': 2, 'Minimal': 1, 'None': -1, 'Uncertain': 0}"
