Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Food Quality,"'Food Quality' refers to the degree of excellence of the food served in the restaurant. It captures aspects such as taste, freshness, cooked to the correct degree, presentation, and innovation in a plate. A high-quality food review refers to comments about delicious, well-prepared food while poor quality is related to tasteless, poorly cooked food or a bad presentation.",What does the review say about the quality of the food served?,"['high', 'low', 'not mentioned', 'uncertain']","{'high': 'Review mentions aspects such as delicious taste, well-prepared dishes, creativity in the plate, excellent presentation, etc.', 'low': 'Review mentions aspects such as tasteless, poorly prepared, poor presentation, stale, etc.', 'not mentioned': 'The review does not mention the quality of the food at all.', 'uncertain': 'Review does not provide clear information about the food quality, the information is ambiguous or vague, or it has both positive and negative aspects mentioned.'}","{'high': 2, 'low': -2, 'not mentioned': 0, 'uncertain': 1}"
service quality,"'Service quality' refers to the level of attentiveness, friendliness, and efficiency of the customer service provided at the restaurant. It includes aspects such as promptness of service, staff attitude, problem-solving capabilities, and the general manner of the staff. High-quality service is described as attentive, friendly, and efficient while poor service might be characterized by slow responses, unfriendly demeanor, or lack of initiative by staff.",What does the review say about the quality of service at the restaurant?,"['high', 'low', 'not mentioned', 'uncertain']","{'high': 'The review mentions positive aspects of the service such as promptness, attentiveness, friendliness, and high efficiency of the staff.', 'low': 'The review mentions negative aspects of the service such as delays, unfriendly demeanor, slow responses, or lack of initiative by staff.', 'not mentioned': 'The review does not mention anything about the quality of service at the restaurant.', 'uncertain': 'The review is ambiguous or unclear about the service quality, or there are both positive and negative aspects mentioned.'}","{'high': 2, 'low': -2, 'not mentioned': 0, 'uncertain': 1}"
Price Perceptions,"'Price Perceptions' refers to the customer's perception and comments about the pricing of the meals, drinks, or services at the restaurant. 'High' indicates the price is perceived as too high for the value delivered, 'Low' suggests the price is seen as a good deal given the quality of the meal or experience, 'Non-mentioned' refers to reviews where price is not mentioned, and 'Uncertain' refers to ambiguous or vague mentions of price.","What does the review say about the pricing of the meals, drinks, or services?","['high', 'low', 'not mentioned', 'uncertain']","{'high': 'The review suggests the prices are considered too expensive given the quality or quantity of food, drink, or service.', 'low': 'The review suggests the prices are considered a good deal or reasonable given the quality or quantity of food, drink, or service.', 'not mentioned': 'The review does not mention anything about the pricing.', 'uncertain': 'The review mentions the price but it is not clear whether it is seen as high or low.'}","{'high': -1, 'low': 1, 'not mentioned': 0, 'uncertain': 0}"
Ambiance and Environment,"The term 'Ambiance and Environment' refers to the setting or atmosphere of a place, and how it makes the visit more enjoyable or less enjoyable. This includes reviews regarding the noise levels, seating arrangements, decor and overall atmosphere of the restaurant.",What does the review say about the ambiance or environment of the restaurant?,"['positive', 'negative', 'not mentioned', 'uncertain']","{'positive': 'Review mentions aspects such as good decorations, comfortable seating, pleasant noise levels, romantic atmosphere, etc.', 'negative': 'Review mentions aspects such as loud noise, crowded seats, poor decor, or other negative comments about the venue or atmosphere.', 'not mentioned': 'The review does not comment about the decor, noise or atmosphere of the restaurant.', 'uncertain': ""It is unclear whether the reviewer perceives the ambiance or environment of the restaurant positively or negatively. Ex: 'It’s loud, but I kind of like that.'""}","{'positive': 1, 'negative': -1, 'not mentioned': 0, 'uncertain': 0}"
Regular Visitation,"Regular visitation refers to the reviewer's stated frequency or intention of repeatedly visiting the restaurant. Frequent and repeated visits indicate a level of satisfaction that encourages the reviewer to return. Conversely, expressing a lack of desire to return symbolizes dissatisfaction.",Does the review mention the reviewer's frequency of visitation or intention to revisit the restaurant?,"['frequent visits', 'no return intent', 'first time visit', 'uncertain']","{'frequent visits': 'The reviewer indicates that they frequently visit or plan to revisit the restaurant. This includes reviews indicating multiple past visits or clear intentions for future visits.', 'no return intent': 'The reviewer explicitly states that they do not intend to return to the restaurant.', 'first time visit': 'The reviewer indicates that this is their first visit to the restaurant and does not mention any intent for or against returning.', 'uncertain': 'The review does not specifically address the frequency of visits or the intent to revisit the restaurant or the comments are ambiguous.'}","{'frequent visits': 2, 'no return intent': -2, 'first time visit': 0, 'uncertain': 0}"
Menu Variety,"'Menu Variety' refers to the range, diversity, and options of dishes available in the restaurant's menu. It includes remarks about the range of choices across different meal courses (appetizers, main courses, desserts), dietary needs (vegetarian, gluten-free), and cuisines. High variety may be associated with a menu that caters to different taste preferences and dietary needs, while limited variety may mean a lack of choice or not enough options for specific dietary needs.",What does the review say about the variety of the menu in the restaurant?,"['high variety', 'limited variety', 'uncertain', 'not mentioned']","{'high variety': ""Review implies or directly states that the menu has a wide range of food and beverage options to suit different tastes and preferences or meet specific dietary needs. This could be through comments like 'vast menu', 'many options to choose from', or 'caters to vegans/gluten-free'."", 'limited variety': ""Review implies or directly states that the menu lacks variety or choices. Could be through comments like 'little choice', 'wish there were more options', or 'does not cater to vegetarians/gluten-free'."", 'uncertain': ""Not enough information is given about the menu variety, or the mentions are ambiguous or contradicting like 'good range of seafood, but not enough options for vegetarians'."", 'not mentioned': 'The review does not comment on the variety of the menu.'}","{'high variety': 1, 'limited variety': -1, 'uncertain': 0, 'not mentioned': 0}"
Expectations Met,"Meeting expectations refers to how closely the actual experience of the restaurant aligns with the diners' initial expectations. This could be derived from previous visits, reputation of the restaurant, or external sources like advertising or word-of-mouth references. A high rating indicates the dining experience surpassed or met expectations, while a low rating indicates the experience did not meet expectations",Did the restaurant meet the diner's expectations?,"['exceeded', 'met', 'below', 'uncertain']","{'exceeded': ""The dining experience went beyond the customer's initial expectations. This could include factors like surprising food quality, exceptional service, or a highly enjoyable atmosphere."", 'met': ""The dining experience matched the customer's expectations. The reviews do not mention being particularly surprised, nor do they display disappointment or unmet expectations."", 'below': ""The dining experience did not match the customer's expectations. Reviews showing disappointment, regret, or the phrase 'not meet expectations' fall into this category."", 'uncertain': ""Reviews where it's hard to determine the level of expectation or where the review is vague about their experience with respect to what was expected.""}","{'exceeded': 2, 'met': 1, 'below': -1, 'uncertain': 0}"
Crowd and Noise Level,"This concept includes any mentions of crowd size or the volume level within the restaurant. High crowd or noise levels could detract from the dining experience making the environment uncomfortable, while a lower level might bring a more private and relaxed atmosphere, which can be perceived in a positive way depending on personal preferences.",What does the review say referring to the crowd size or noise level of the restaurant?,"['crowded/noisy', 'quiet/empty', 'not mentioned', 'uncertain']","{'crowded/noisy': ""The review mentions that the restaurant was very crowded or noisy, implying a less than comfortable environment and possibly hindering conversation. Terms such as 'packed', 'busy', 'noisy', 'loud', 'crowded' may show up in the review."", 'quiet/empty': ""The review mentions that the restaurant was quiet, calm or not crowded, which can imply an enjoyable, relaxing experience. Review could contain phrases like 'quiet', 'calm', 'not crowded', 'relaxed atmosphere'."", 'not mentioned': 'The review does not include any specific mention referring to the crowd size or noise level.', 'uncertain': 'The review is vague, ambiguous or lacks enough information to classify appropriately regarding crowd size or noise level.'}","{'crowded/noisy': -1, 'quiet/empty': 1, 'not mentioned': 0, 'uncertain': 0}"
Special Occasion Mention,"'Special Occasion Mention' refers to the mentioning of special events or milestones like birthday, anniversary, or festive days in the reviews. This concept can be important as restaurants are often chosen for special occasions and the experience can directly influence the rating.",Does the review mention a special occasion?,"['special occasion mentioned', 'no special occasion', 'uncertain']","{'special occasion mentioned': ""The review specifically mentions about the special event or occasion (e.g. birthday, anniversary, Valentine's day etc.) for which the customer was dining at the restaurant."", 'no special occasion': 'The review does not mention any specific event or occasion.', 'uncertain': 'It is uncertain if the review mentions a special event or occasion. The text might be vague or lack sufficient context.'}","{'special occasion mentioned': 1, 'no special occasion': -1, 'uncertain': 0}"
Location Convenience,"'Location Convenience' refers to the accessibility, convenience, and suitability of a restaurant's location. It involves aspects like proximity to public transportation or prominent areas, ease to find or navigate to, parking facilities, neighborhood desirability, or scenic views. A convenient location is easily accessible, well-known, or offers a desirable ambiance, whereas an inconvenient location is hard to reach, located in a less desirable neighborhood or lacks adequate parking facilities.",How was the location of the restaurant perceived by the reviewer?,"['convenient', 'inconvenient', 'uncertain', 'not mentioned']","{'convenient': ""The reviewer explicitly states or implies that the restaurant's location is convenient, easy to reach, well-known or in a desirable neighborhood, or has good parking facilities."", 'inconvenient': ""The reviewer explicitly states or implies that the restaurant's location is hard to find, difficult to reach, or in a less desirable neighborhood, or lacks adequate parking facilities."", 'uncertain': ""The reviewer's comments about the restaurant's location are ambiguous or conflicting (e.g., mentions both positive and negative aspects of the location), or it's unclear whether the reviewer perceives the location as convenient or inconvenient."", 'not mentioned': ""The reviewer does not mentioned or make any remark about the restaurant's location.""}","{'convenient': 2, 'inconvenient': -1, 'uncertain': 1, 'not mentioned': 0}"
