Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Food Quality,"'Food Quality' refers to the degree of excellence of the food served in the restaurant. It captures aspects such as taste, freshness, cooked to the correct degree, presentation, and innovation in a plate. A high-quality food review refers to comments about delicious, well-prepared food while poor quality is related to tasteless, poorly cooked food or a bad presentation.",What does the review say about the quality of the food served?,"['high', 'low', 'not mentioned', 'uncertain']","{'high': 'Review mentions aspects such as delicious taste, well-prepared dishes, the use of fresh and quality ingredients, dishes cooked to the correct degree, creativity in the plate, excellent presentation, etc.', 'low': 'Review mentions aspects such as tasteless, poorly prepared, dishes undercooked or overcooked, poor presentation, the food being stale or dishes lacking creativity, etc.', 'not mentioned': 'The review does not mention the quality of the food at all. This includes reviews that only talk about service, atmosphere, location, price, and other non-food aspects.', 'uncertain': 'Review does not provide clear information about the food quality, the information is ambiguous or vague, or it mentions both positive and negative aspects about the food quality (for instance, one dish being great but another being disappointing).'}","{'high': 2, 'low': -2, 'uncertain': 0, 'not mentioned': 1}"
service quality,"'Service quality' refers to the level of attentiveness, friendliness, and efficiency of the customer service provided at the restaurant. It includes aspects such as promptness of service, staff attitude, problem-solving capabilities, and the general manner of the staff. High-quality service is described as attentive, friendly, and efficient while poor service might be characterized by slow responses, unfriendly demeanor, or lack of initiative by staff.",What does the review say about the quality of service at the restaurant?,"['high', 'low', 'not mentioned', 'uncertain']","{'high': 'The review mentions positive aspects of the service such as promptness, attentiveness, friendliness, and high efficiency of the staff.', 'low': 'The review mentions negative aspects of the service such as delays, unfriendly demeanor, slow responses, or lack of initiative by staff.', 'not mentioned': 'The review does not mention anything about the quality of service at the restaurant.', 'uncertain': 'The review is ambiguous or unclear about the service quality, or there are both positive and negative aspects mentioned.'}","{'high': 1, 'low': -1, 'not mentioned': -2, 'uncertain': 0}"
Price Perceptions,"'Price Perceptions' refers to the customer's perception and comments about the pricing of the meals, drinks, or services at the restaurant. 'High' indicates the price is perceived as too high for the value delivered, 'Low' suggests the price is seen as a good deal given the quality of the meal or experience, 'Non-mentioned' refers to reviews where price is not mentioned, and 'Uncertain' refers to ambiguous or vague mentions of price.","How does the reviewer perceive the pricing for the food, drink, or services provided in the restaurant?","['high', 'low', 'not mentioned', 'uncertain']","{'high': ""The review expresses that the prices are considered too expensive by referencing the quality or quantity of food, drink, or service, e.g., 'The meals are not worth the price they ask for', 'The portions were small given the high prices'."", 'low': ""The review implies the prices are seen as a bargain considering the quality or quantity of food, drink, or service, e.g., 'The food was delicious, and the prices were reasonable', 'It was a great deal considering the quality of the meal'."", 'not mentioned': 'The review does not make any reference to the pricing, or it discusses only the food, service, atmosphere, etc.', 'uncertain': ""The review contains ambiguous or vague mentions about the pricing, e.g., 'Well, it was a bit pricey', 'I'm not sure about the price'""}","{'high': -1, 'low': 1, 'not mentioned': 0, 'uncertain': 0}"
Ambiance and Environment,"The term 'Ambiance and Environment' refers to the setting or atmosphere of a place, and how it makes the visit more enjoyable or less enjoyable. This includes reviews regarding the noise levels, seating arrangements, decor and overall atmosphere of the restaurant.",How does the review describe the ambiance or environment of the restaurant?,"['positive', 'negative', 'uncertain', 'not mentioned']","{'negative': 'Review mentions aspects such as loud noise, crowded seats, poor decor, or other negative comments about the venue or atmosphere.', 'uncertain': ""The review makes some comments about the ambiance or environment, but it's unclear whether these are intended as positives or negatives. For example, a high noise level might be appreciated by some patrons and disliked by others."", 'positive': 'Review mentions aspects such as good decorations, comfortable seating, pleasant noise levels, romantic atmosphere, etc.', 'not mentioned': 'The review does not comment on the decor, noise or atmosphere of the restaurant.'}","{'negative': -1, 'uncertain': 0, 'not mentioned': 0, 'positive': 1}"
Expectations Met,"Meeting expectations refers to how closely the actual experience of the restaurant aligns with the diners' initial expectations. This could be derived from previous visits, reputation of the restaurant, or external sources like advertising or word-of-mouth references. A high rating indicates the dining experience surpassed or met expectations, while a low rating indicates the experience did not meet expectations",How did the experience at the restaurant align with the diner's expectations?,"['exceeded', 'met', 'below', 'uncertain']","{'exceeded': ""The dining experience surpassed the customer's initial expectations. Examples could include mentions of surprising food quality, exceptional service, extraordinary ambiance, etc. Phrases like 'exceeded expectations', 'better than expected', 'pleasantly surprised' might indicate this response."", 'met': ""The dining experience matched the customer's expectations. The reviews do not mention being particularly surprised, nor do they display disappointment or unmet expectations."", 'below': ""The dining experience did not match the customer's expectations. Reviews showing disappointment, regret, or phrases like 'fell short of expectations', 'not as good as expected' fall into this category."", 'uncertain': ""Reviews where it's hard to determine the level of expectation due to lack of specific remarks about the expected vs actual experience, or where the review is ambiguous or unclear about their experience relative to expectations.""}","{'exceeded': 2, 'met': 1, 'below': -1, 'uncertain': 0}"
Location Convenience,"'Location Convenience' refers to the accessibility, convenience, and suitability of a restaurant's location. It involves aspects like proximity to public transportation or prominent areas, ease to find or navigate to, parking facilities, neighborhood desirability, or scenic views. A convenient location is easily accessible, well-known, or offers a desirable ambiance, whereas an inconvenient location is hard to reach, located in a less desirable neighborhood or lacks adequate parking facilities.",How was the location of the restaurant perceived by the reviewer?,"['convenient', 'inconvenient', 'uncertain', 'not mentioned']","{'convenient': ""The reviewer explicitly states or implies that the restaurant's location is convenient, easy to reach, well-known or in a desirable neighborhood, or has good parking facilities."", 'inconvenient': ""The reviewer explicitly states or implies that the restaurant's location is hard to find, difficult to reach, or in a less desirable neighborhood, or lacks adequate parking facilities."", 'uncertain': ""The reviewer's comments about the restaurant's location are ambiguous or conflicting (e.g., mentions both positive and negative aspects of the location), or it's unclear whether the reviewer perceives the location as convenient or inconvenient."", 'not mentioned': ""The reviewer does not mentioned or make any remark about the restaurant's location.""}","{'convenient': 1, 'inconvenient': -1, 'uncertain': 0, 'not mentioned': 0}"
Overall Diner Experience,"The concept 'Overall Diner Experience' captures the comprehensive feeling or satisfaction level of the diner across all aspects of the restaurant experience - be it the food, service, ambiance, or price value. It summarizes the diner's sentiment and could indicate their likelihood to return or recommend the restaurant to others.",How does the diner describe their overall experience at the restaurant?,"['very negative', 'somewhat negative', 'neutral', 'somewhat positive', 'very positive']","{'very positive': 'The diner expressed overall satisfaction and praise for multiple aspects of their experience, e.g., fantastic food, great service, excellent value, beautiful ambiance, and is highly likely to return or recommend the restaurant to others.', 'somewhat positive': 'The diner expressed a generally positive experience, commending one or more aspects of the restaurant, but also mentioned areas for improvement or minor issues.', 'neutral': ""The diner's review is neither distinctly positive nor negative. They may have noted some pros and cons but did not explicitly express their overall opinion about the restaurant or their likelihood to return or recommend it."", 'somewhat negative': 'The diner expressed a generally negative experience, highlighting issues in one or more aspects of their visit. They might have mentioned some redeeming qualities but seem unlikely to return or recommend the restaurant unless improvements are made.', 'very negative': 'The diner expressed strong dissatisfaction, criticizing multiple aspects of their experience and expressing a strong unlikelihood to return or recommend the restaurant.'}","{'very negative': 1, 'somewhat negative': 2, 'neutral': 3, 'somewhat positive': 4, 'very positive': 5}"
Wait Time,"Wait time refers to the amount of time customers have to wait to be seated or served during their dining experience. This can involve the time it takes for a customer to get a table, the time it takes for their order to be taken, or the time it takes for their food to arrive. Short wait time refers to quick service, while long wait time can refer to slow or inefficient service.",What does the review say about the waiting time?,"['short wait time', 'long wait time', 'not mentioned', 'uncertain']","{'short wait time': ""The review mentions quick service or less time taken to get a table or food, such as 'we were served immediately', 'no wait time', 'fast service', etc."", 'long wait time': ""The review mentions about slow service or long time taken to get a table or food, phrases like 'waited forever', 'service was slow', 'took a long time to be served', are clues to this."", 'not mentioned': 'The review does not mention anything about wait time.', 'uncertain': 'It is hard to determine from the review about the wait time or the comment is vague.'}","{'short wait time': 1, 'long wait time': -1, 'not mentioned': 0, 'uncertain': -0.5}"
Variety of Food,"This concept refers to the variety in food choices offered by the restaurant as per the reviewer’s perspective. It considers the extent of the menu, the diversity of dishes across cuisines, the different types of meals provided (e.g., vegan, gluten-free), or if unique food options are available. A high variety suggests appreciation of the wide range of options, whereas a low variety indicates disappointment due to limited choices or repetitiveness.",What does the review tell us about the range of food options offered by the restaurant?,"['high variety', 'limited variety', 'not mentioned', 'uncertain']","{'high variety': 'Review indicates a diverse array of dishes, catering to varying tastes, unique or novel food options, or accommodate distinct dietary preferences.', 'limited variety': 'Review signifies insufficient choices, repetitiveness of dishes, or lack of options for specific dietary needs.', 'not mentioned': 'No explicit mention of the variety of food choices is made in the review.', 'uncertain': 'Review is not clear in expressing the variety of food options, it can be due to vague or indirect comments.'}","{'high variety': 2, 'limited variety': -1, 'not mentioned': 0, 'uncertain': 1}"
Beverage Quality,"'Beverage Quality' refers to the reviewer's opinion on the quality of the beverages they had at the restaurant. This could be related to cocktails, wine, beer, or non-alcoholic drinks, and can include aspects such as taste, serving temperature, presentation, and the skill of the bartender. High-quality beverages are described as flavorful, well-prepared, and well-presented, whereas low-quality beverages may be described as tasteless, poorly presented, or served at an improper temperature.",What does the review say about the quality of the beverages?,"['high', 'low', 'not mentioned', 'uncertain']","{'high': ""Review praises the beverages, possibly describing them as delicious, well-prepared, well-presented, served at the right temperature, or mentioning a bartender's skill. Comments like 'refreshing cocktail', 'expertly mixed drinks', 'excellent wine list' indicate high quality."", 'low': ""Review critiques the beverages negatively, describing them as tasteless, poorly mixed, badly presented, or served at an incorrect temperature. Phrases like 'cocktail lacked flavor', 'watered down drinks', 'poor choice of wines' indicate low quality."", 'not mentioned': 'Review does not mention beverages in any form.', 'uncertain': ""Review mentions beverages, but it is unclear whether the opinion is positive or negative or mixed reviews like 'good beer but poor cocktail'.""}","{'high': 1, 'low': -1, 'not mentioned': 0, 'uncertain': 0}"
