Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Economic Significance,"This concept refers to whether the text content discusses, refers to or alludes to matters of economic interest, importance or impact. This could include aspects such as growth rates,macroeconomic factors, fiscal policy, trade and investment, corporate financial performance, insurance cost, financial estimates and similar economic or business-oriented topics.","Does the text have a significant focus on topics of economic interest, issues or impact?","['high', 'moderate', 'low', 'no relevance', 'uncertain']","{'high': 'The text highly focuses on topics of economic significance such as growth rates, trade policies, financial performance, economic policies, etc.', 'moderate': 'The text mentions or refers to economic topics but is not the main focus.', 'low': 'The text barely mentions or refers to any economic topic and has little to no focus on economics.', 'no relevance': 'The text does not mention any economic subject or topic.', 'uncertain': 'It is uncertain whether the text focuses on any economic topic. It may be vague, ambiguous or lacking in sufficient context.'}","{'high': 2, 'moderate': 1, 'low': -1, 'no relevance': -2, 'uncertain': 0}"
Tech-related terminology,"'Tech-related terminology' refers to the specific jargon, terminology, technologies, gadgets, corporate entities, and individuals associated with the field of technology. This includes terms relating to software development, hardware, programming languages, operating systems, internet services, tech companies and their products, popular tech figures, cutting-edge technology trends etc.",Does the text use terminology that is specific to the field of technology?,"['high frequency', 'moderate frequency', 'low frequency', 'no tech-related terminology', 'uncertain']","{'high frequency': 'The text contains a high frequency of tech-related words, phrases, names or mentions of entities (companies, products etc) relating to the tech industry. These terms may include discussions about specific technology companies, their products, brand names, software, hardware, internet services, etc.', 'moderate frequency': 'The text contains a moderate frequency of tech-related terms. It has some focus on technology but it is not the primary focus of the text.', 'low frequency': 'The text contains very few tech-related terms. The main focus of the text is not on technology but may include some passing references or mentions.', 'no tech-related terminology': 'The text does not use any tech-related words, phrases, or terms, or mention any entities related to the tech industry.', 'uncertain': 'It is difficult to determine the use of tech-related terminology in the text, the text might be vague, ambiguous, or lack sufficient context.'}","{'high frequency': 2, 'moderate frequency': 1, 'low frequency': -1, 'no tech-related terminology': -2, 'uncertain': 0}"
Financial Transactions,"This concept refers to whether the text is discussing some level of monetary exchange, partnership, deals, acquisitions, financial loss/gain, investments, or financial performance of companies. It may indicate aspects relating to financial transactions, mergers, acquisitions, stock data, business deals or financial indicators of business activity. It is usually common in texts related to 'business' category.",Does the text contain information about financial transactions or monetary exchanges?,"['major transaction', 'minor transaction', 'no transaction', 'uncertain']","{'major transaction': 'The text discusses major financial transactions like mergers, acquisitions, substantial investments, massive procurement, significant financial loss/gain or major business deals.', 'minor transaction': 'The text discusses minor financial transactions like small-scale investments, minor financial loss/gain or small-scale business deals.', 'no transaction': 'There is no mention of any financial transaction or exchanges in the text.', 'uncertain': 'It is unclear or not enough information to determine if there is a financial transaction or exchange mentioned in the text.'}","{'major transaction': 2, 'minor transaction': 1, 'no transaction': -1, 'uncertain': 0}"
Sporting Event References,"This concept refers to any mention or reference to sports events, teams, player names, scorelines, sports-related terminologies, stadiums, competitions, etc in the text. It can be specific to any sport like basketball, soccer, tennis, golf, etc. This would be more prevalent in texts associated with 'Sports' category.",What is the level of sports-related references in the text?,"['high', 'medium', 'low', 'no reference', 'uncertain']","{'high': 'The text significantly revolves around a sports event, teams, players and includes detailed information related to the event, scores or key persons involved.', 'medium': ""The text includes references to a sports event, teams, players but doesn't necessarily revolve around it. Sports-related information constitutes a part of the text."", 'low': ""The text includes minor or very occasional mention of sports events, teams, players but isn't the focal point of the content."", 'no reference': 'The text does not include any reference to sports, teams, or players.', 'uncertain': 'It is difficult to determine the level of sports-related references in the text.'}","{'high': 2, 'medium': 1, 'low': -1, 'no reference': -2, 'uncertain': 0}"
Business deal/transaction,"This concept refers to whether the text discusses, refers to, or alludes to matters related to business deals, transactions, mergers & acquisitions or financial partnerships between companies or organizations. It can also relate to possible implications of these transactions, as well as corporate strategies and negotiations surrounding them.","Does the text discuss any form of business deals, transactions, or financial partnerships?","['major deal/transaction', 'minor deal/transaction', 'potential deal/transaction', 'no deal/transaction', 'uncertain']","{'major deal/transaction': 'The text explicitly discusses a major business deal, transaction, merger, acquisition or financial partnership which has significant implications on the respective companies, industry or market.', 'minor deal/transaction': 'The text discusses a minor or routine business transaction or deal, likely to have limited impact or bearing on the respective companies or market.', 'potential deal/transaction': 'The text alludes to a potential, anticipated or speculated deal or transaction that is yet to happen. This could involve discussions about future business strategies, rumours about potential mergers, acquisitions, or partnerships etc.', 'no deal/transaction': 'The text does not discuss or mention any form of business transaction, deal or financial partnership.', 'uncertain': 'It is not clear from the text whether a business deal or transaction is mentioned or discussed. The information provided is either ambiguous or insufficient to ascertain this.'}","{'major deal/transaction': 2, 'minor deal/transaction': 1, 'potential deal/transaction': -1, 'no deal/transaction': -2, 'uncertain': 0}"
Global Affairs & Politics,"This concept refers to whether the text discusses, refers to or alludes to matters of international relevance such as political incidents, diplomacy, state relations, global conflicts, peace negotiations, foreign policies, territorial disputes, international councils or alliances, etc. Such mentions typically indicate that the text belongs to the 'World' category.",How significantly does the text discuss aspects related to global affairs & politics?,"['high', 'medium', 'low', 'no relevance', 'uncertain']","{'high': 'The text widely discusses aspects of global affairs and politics. This could range from detailed discussions about international relations, foreign policies, peace negotiations, global conflicts etc.', 'medium': ""The text discusses aspects of global affairs and politics to some extent but it's not the primary theme of the text."", 'low': 'The text mentions global affairs and politics in passing, it forms a minor part of the text.', 'no relevance': 'The text does not mention or discuss global affairs & politics.', 'uncertain': 'It is difficult to determine the level of discussion or mention of global affairs & politics in the text. The text might be vague, ambiguous or lack sufficient context.'}","{'high': 3, 'medium': 2, 'low': 1, 'no relevance': -1, 'uncertain': 0}"
Mention of sports players or Teams,"This concept refers to the mention of names of sports players, teams or sports personalities in the text. It also includes references to coaches, managers or any key figures associated with sports teams.","Does the text mention specific names of sports players, teams or sports personalities?","['multiple mentions', 'single mention', 'indirect mention', 'no mention', 'uncertain']","{'multiple mentions': 'The text mentions multiple names of sports players, teams or sports personalities.', 'single mention': 'The text mentions a single name of a sports player, team, or sports personality.', 'indirect mention': 'The text indirectly refers to sports players, teams, or personalities without directly mentioning their names.', 'no mention': 'The text does not mention any sports player, team, or sports personality.', 'uncertain': 'It is unclear whether the text mentions any sports player, team, or sports personality.'}","{'multiple mentions': 2, 'single mention': 1, 'indirect mention': -1, 'no mention': -2, 'uncertain': 0}"
Mention of Competition,"This concept refers to the mention of any competitive event or competition associated with sports. This could include sports leagues, championships, tournaments, matches, games or any type of athletic competition. It is usually common in texts related to the 'sports' category.","Does the text mention a sports competition, league, championship, tournament, or match?","['multiple mentions', 'single mention', 'indirect mention', 'no mention', 'uncertain']","{'multiple mentions': 'The text mentions more than one sports competition or event.', 'single mention': 'The text mentions a sports competition or event once.', 'indirect mention': 'The text indirectly refers to a sports competition or event, perhaps by referring to results or players involved.', 'no mention': 'The text does not mention any sports competition or event.', 'uncertain': 'It is unsure or ambiguous whether the text is referring to a sports competition or event.'}","{'multiple mentions': 2, 'single mention': 1, 'indirect mention': 1, 'no mention': -1, 'uncertain': 0}"
Geographical References,"This concept refers to any mention of geographical locations or specific regions in the text. This includes names of countries, cities, regions, continents, landmarks, or geographical features. The presence and frequency of these references could provide clues towards the category of the news article such as 'world' or 'business'.",What is the frequency of geographical references in the text?,"['high', 'moderate', 'low', 'no reference', 'uncertain']","{'high': 'Several different geographical location names are mentioned throughout the text.', 'moderate': 'One or two individual geographical locations are regularly referenced in the text.', 'low': 'Geographical locations are mentioned but not frequently.', 'no reference': 'No geographical locations are mentioned in the text.', 'uncertain': 'It is not clear or ambiguous as to whether a geographical location is being referred to.'}","{'high': 2, 'moderate': 1, 'low': -1, 'no reference': -2, 'uncertain': 0}"
Scientific Research and Discoveries,"'Scientific Research and Discoveries' is a concept that refers to any instance where the text discusses, refers to, or alludes to scientific studies, experiments, findings, theories or technological advancements. This might include mentions of scientific terms, research institutions, key figures in science, or descriptions of scientific phenomena.","Does the text make references to scientific research, discoveries or technological innovations?","['significant reference', 'minor reference', 'indirect reference', 'no reference', 'uncertain']","{'significant reference': 'The text discusses, elaborates, or focuses on scientific research, a discovery, or a technological innovation. This could include mentions of specific scientific studies, scientific phenomena, or key figures in science.', 'minor reference': 'The text includes mention of scientific research or discoveries, but this is not the main focus of the text.', 'indirect reference': 'The text alludes to scientific studies or technological advancements but does not directly mention them.', 'no reference': 'The text does not make any reference to scientific research, discoveries, or technological innovations.', 'uncertain': 'It is uncertain whether the text references scientific research or discoveries, or it might lack sufficient information.'}","{'significant reference': 2, 'minor reference': 1, 'indirect reference': -1, 'no reference': -2, 'uncertain': 0}"
Scientific Process and Methodology,"This concept refers to mentions or references to scientific processes, methodologies, experiments or studies in the text. It includes detailed explanations or discussions on scientific tests, measurable data or facts, evaluation or analysis procedures, research methodologies, scientific investigations or discoveries. It is common in texts related to the 'sci/tech' category.","Does the text refer to or discuss any scientific process, methodology, experiments or studies?","['extensive reference', 'brief reference', 'indirect reference', 'no reference', 'uncertain']","{'extensive reference': 'The text provides a detailed explanation or discussion on a scientific process, methodology, experiment or study.', 'brief reference': 'The text mentions a scientific process, methodology, experiment or study, but does not go into great detail.', 'indirect reference': 'The text alludes to a scientific process, methodology, experiment or study, but does not explicitly mention it.', 'no reference': 'The text does not mention or refer to any scientific process, methodology, experiment or study at all.', 'uncertain': 'The text may or may not refer to a scientific process, methodology, experiment or study. The reference, if any, is unclear or ambiguous.'}","{'extensive reference': 2, 'brief reference': 1, 'indirect reference': -1, 'no reference': -2, 'uncertain': 0}"
